"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2020","1.3998","1.4487","1.4542","1.3834","","-3.36%"
"06/01/2020","1.4484","1.5022","1.5048","1.4159","","-3.42%"
"05/01/2020","1.4997","1.5359","1.5695","1.4960","","-2.34%"
"04/01/2020","1.5356","1.6306","1.6724","1.5220","","-5.76%"
"03/01/2020","1.6295","1.5414","1.8159","1.4956","","6.09%"
"02/01/2020","1.5359","1.4947","1.5544","1.4759","","2.80%"
"01/01/2020","1.4941","1.4241","1.4965","1.4223","","4.92%"
"12/01/2019","1.4241","1.4792","1.4804","1.4219","","-3.65%"
"11/01/2019","1.4780","1.4505","1.4808","1.4431","","1.91%"
"10/01/2019","1.4503","1.4815","1.4993","1.4429","","-2.09%"
"09/01/2019","1.4813","1.4878","1.4955","1.4502","","-0.19%"
"08/01/2019","1.4841","1.4609","1.4978","1.4557","","1.59%"
"07/01/2019","1.4609","1.4231","1.4638","1.4117","","2.57%"
"06/01/2019","1.4243","1.4422","1.4640","1.4236","","-1.11%"
"05/01/2019","1.4403","1.4186","1.4570","1.4159","","1.54%"
"04/01/2019","1.4184","1.4053","1.4312","1.3875","","0.70%"
"03/01/2019","1.4086","1.4096","1.4282","1.3949","","-0.04%"
"02/01/2019","1.4092","1.3750","1.4179","1.3726","","2.55%"
"01/01/2019","1.3742","1.4188","1.4756","1.3705","","-3.06%"
"12/01/2018","1.4176","1.3572","1.4254","1.3523","","3.77%"
"11/01/2018","1.3661","1.4138","1.4142","1.3613","","-3.36%"
"10/01/2018","1.4136","1.3829","1.4246","1.3814","","2.24%"
"09/01/2018","1.3826","1.3894","1.4116","1.3670","","-0.48%"
"08/01/2018","1.3893","1.3464","1.3937","1.3414","","3.24%"
"07/01/2018","1.3457","1.3521","1.3680","1.3359","","-0.33%"
"06/01/2018","1.3501","1.3212","1.3654","1.3024","","2.20%"
"05/01/2018","1.3210","1.3274","1.3492","1.3147","","-0.51%"
"04/01/2018","1.3278","1.3007","1.3290","1.2797","","1.97%"
"03/01/2018","1.3021","1.2884","1.3086","1.2630","","1.08%"
"02/01/2018","1.2882","1.2414","1.2890","1.2394","","3.78%"
"01/01/2018","1.2413","1.2817","1.2830","1.2291","","-3.14%"
"12/01/2017","1.2816","1.3214","1.3333","1.2778","","-3.01%"
"11/01/2017","1.3214","1.3060","1.3278","1.2936","","1.20%"
"10/01/2017","1.3057","1.2755","1.3117","1.2660","","2.30%"
"09/01/2017","1.2763","1.2584","1.2823","1.2306","","1.44%"
"08/01/2017","1.2582","1.2495","1.2810","1.2431","","0.70%"
"07/01/2017","1.2494","1.3017","1.3211","1.2395","","-3.86%"
"06/01/2017","1.2995","1.3461","1.3568","1.2964","","-3.42%"
"05/01/2017","1.3455","1.3405","1.3647","1.3232","","0.82%"
"04/01/2017","1.3346","1.3113","1.3442","1.3083","","1.82%"
"03/01/2017","1.3108","1.3060","1.3352","1.2901","","0.39%"
"02/01/2017","1.3057","1.3182","1.3247","1.2915","","-0.93%"
"01/01/2017","1.3180","1.3832","1.3960","1.3139","","-4.88%"
"12/01/2016","1.3856","1.3541","1.3973","1.3286","","2.38%"
"11/01/2016","1.3534","1.3140","1.3684","1.2852","","3.01%"
"10/01/2016","1.3139","1.3059","1.3322","1.2926","","0.83%"
"09/01/2016","1.3031","1.3301","1.3439","1.2929","","-2.06%"
"08/01/2016","1.3305","1.3170","1.3352","1.2890","","1.10%"
"07/01/2016","1.3160","1.3421","1.3501","1.3028","","-1.93%"
"06/01/2016","1.3419","1.3820","1.3887","1.3072","","-2.89%"
"05/01/2016","1.3818","1.3148","1.3998","1.2953","","5.07%"
"04/01/2016","1.3151","1.3059","1.3350","1.2760","","0.77%"
"03/01/2016","1.3051","1.4004","1.4070","1.2947","","-6.74%"
"02/01/2016","1.3994","1.4108","1.4341","1.3772","","-0.82%"
"01/01/2016","1.4110","1.3736","1.4650","1.3692","","2.79%"
"12/01/2015","1.3727","1.3836","1.4095","1.3536","","-0.74%"
"11/01/2015","1.3829","1.4059","1.4256","1.3726","","-1.24%"
"10/01/2015","1.4002","1.4242","1.4293","1.3542","","-1.68%"
"09/01/2015","1.4241","1.4059","1.4503","1.3731","","1.35%"
"08/01/2015","1.4051","1.3684","1.4175","1.3440","","2.68%"
"07/01/2015","1.3684","1.2975","1.3823","1.2920","","5.55%"
"06/01/2015","1.2965","1.3082","1.3182","1.2739","","-0.87%"
"05/01/2015","1.3079","1.2650","1.3128","1.2249","","3.42%"
"04/01/2015","1.2647","1.3147","1.3276","1.2381","","-3.78%"
"03/01/2015","1.3144","1.2757","1.3228","1.2595","","2.70%"
"02/01/2015","1.2798","1.2929","1.3115","1.2635","","-0.54%"
"01/01/2015","1.2868","1.2250","1.2955","1.2053","","5.16%"
"12/01/2014","1.2237","1.1769","1.2366","1.1703","","4.16%"
"11/01/2014","1.1748","1.1431","1.1794","1.1370","","3.40%"
