"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2016","0.9759","0.9936","0.9954","0.9520","","-1.76%"
"05/01/2016","0.9934","0.9584","0.9959","0.9442","","3.53%"
"04/01/2016","0.9595","0.9618","0.9799","0.9496","","-0.17%"
"03/01/2016","0.9611","0.9984","1.0097","0.9570","","-3.70%"
"02/01/2016","0.9980","1.0225","1.0252","0.9661","","-2.42%"
"01/01/2016","1.0227","1.0014","1.0261","0.9881","","2.09%"
"12/01/2015","1.0018","1.0290","1.0311","0.9786","","-2.61%"
"11/01/2015","1.0286","0.9879","1.0333","0.9834","","4.16%"
"10/01/2015","0.9875","0.9730","0.9963","0.9475","","1.52%"
"09/01/2015","0.9727","0.9671","0.9847","0.9524","","0.60%"
"08/01/2015","0.9669","0.9663","0.9908","0.9254","","0.15%"
"07/01/2015","0.9655","0.9355","0.9724","0.9330","","3.23%"
"06/01/2015","0.9353","0.9408","0.9507","0.9147","","-0.52%"
"05/01/2015","0.9402","0.9328","0.9549","0.9069","","0.85%"
"04/01/2015","0.9323","0.9725","0.9867","0.9309","","-4.13%"
"03/01/2015","0.9725","0.9539","1.0129","0.9488","","2.05%"
"02/01/2015","0.9530","0.9236","0.9550","0.9173","","3.52%"
"01/01/2015","0.9206","0.9944","1.0242","0.7380","","-7.39%"
"12/01/2014","0.9941","0.9661","0.9948","0.9553","","2.96%"
"11/01/2014","0.9655","0.9641","0.9742","0.9531","","0.28%"
"10/01/2014","0.9628","0.9552","0.9692","0.9359","","0.82%"
"09/01/2014","0.9550","0.9183","0.9597","0.9173","","4.01%"
"08/01/2014","0.9182","0.9086","0.9187","0.9023","","1.07%"
"07/01/2014","0.9085","0.8867","0.9108","0.8856","","2.45%"
"06/01/2014","0.8868","0.8946","0.9038","0.8863","","-0.91%"
"05/01/2014","0.8949","0.8805","0.8992","0.8703","","1.66%"
"04/01/2014","0.8803","0.8848","0.8954","0.8741","","-0.47%"
"03/01/2014","0.8845","0.8802","0.8900","0.8698","","0.57%"
"02/01/2014","0.8795","0.9066","0.9083","0.8777","","-2.92%"
"01/01/2014","0.9060","0.8928","0.9158","0.8903","","1.48%"
"12/01/2013","0.8928","0.9057","0.9111","0.8798","","-1.47%"
"11/01/2013","0.9061","0.9069","0.9251","0.9027","","-0.06%"
"10/01/2013","0.9066","0.9050","0.9179","0.8889","","0.20%"
"09/01/2013","0.9048","0.9305","0.9457","0.9020","","-2.69%"
"08/01/2013","0.9298","0.9263","0.9398","0.9147","","0.40%"
"07/01/2013","0.9261","0.9455","0.9753","0.9227","","-1.97%"
"06/01/2013","0.9447","0.9559","0.9627","0.9129","","-1.07%"
"05/01/2013","0.9549","0.9296","0.9840","0.9246","","2.78%"
"04/01/2013","0.9291","0.9503","0.9529","0.9205","","-2.11%"
"03/01/2013","0.9491","0.9369","0.9568","0.9350","","1.39%"
"02/01/2013","0.9361","0.9100","0.9376","0.9021","","2.90%"
"01/01/2013","0.9097","0.9154","0.9391","0.9075","","-0.63%"
"12/01/2012","0.9155","0.9284","0.9384","0.9082","","-1.32%"
"11/01/2012","0.9277","0.9316","0.9517","0.9244","","-0.34%"
"10/01/2012","0.9309","0.9408","0.9441","0.9212","","-0.93%"
"09/01/2012","0.9396","0.9555","0.9610","0.9237","","-1.60%"
"08/01/2012","0.9549","0.9765","0.9901","0.9502","","-2.19%"
"07/01/2012","0.9763","0.9480","0.9974","0.9478","","2.95%"
"06/01/2012","0.9483","0.9717","0.9774","0.9420","","-2.40%"
"05/01/2012","0.9716","0.9072","0.9738","0.9042","","7.11%"
"04/01/2012","0.9071","0.9061","0.9254","0.9000","","0.57%"
"03/01/2012","0.9020","0.9041","0.9337","0.9007","","-0.24%"
"02/01/2012","0.9042","0.9202","0.9303","0.8929","","-1.74%"
"01/01/2012","0.9202","0.9387","0.9599","0.9115","","-1.86%"
"12/01/2011","0.9376","0.9133","0.9552","0.9069","","2.68%"
"11/01/2011","0.9131","0.8769","0.9333","0.8760","","4.09%"
"10/01/2011","0.8772","0.9096","0.9316","0.8568","","-3.38%"
"09/01/2011","0.9079","0.8064","0.9184","0.7710","","12.68%"
"08/01/2011","0.8057","0.7927","0.8241","0.7088","","2.61%"
"07/01/2011","0.7852","0.8403","0.8528","0.7850","","-6.53%"
"06/01/2011","0.8401","0.8536","0.8554","0.8273","","-1.60%"
"05/01/2011","0.8538","0.8646","0.8949","0.8465","","-1.29%"
"04/01/2011","0.8650","0.9182","0.9342","0.8625","","-5.81%"
"03/01/2011","0.9184","0.9287","0.9371","0.8940","","-1.12%"
"02/01/2011","0.9288","0.9443","0.9778","0.9233","","-1.63%"
"01/01/2011","0.9442","0.9345","0.9787","0.9317","","1.09%"
"12/01/2010","0.9340","1.0042","1.0071","0.9303","","-7.00%"
"11/01/2010","1.0043","0.9823","1.0055","0.9545","","2.25%"
"10/01/2010","0.9822","0.9832","0.9931","0.9463","","-0.01%"
"09/01/2010","0.9823","1.0147","1.0279","0.9708","","-3.17%"
"08/01/2010","1.0145","1.0408","1.0631","1.0137","","-2.61%"
"07/01/2010","1.0417","1.0772","1.0792","1.0362","","-3.32%"
"06/01/2010","1.0775","1.1558","1.1735","1.0754","","-6.71%"
"05/01/2010","1.1550","1.0749","1.1700","1.0742","","7.17%"
"04/01/2010","1.0777","1.0542","1.0928","1.0435","","2.27%"
"03/01/2010","1.0538","1.0742","1.0893","1.0488","","-1.84%"
"02/01/2010","1.0736","1.0603","1.0900","1.0495","","1.23%"
"01/01/2010","1.0606","1.0344","1.0643","1.0129","","2.41%"
"12/01/2009","1.0356","1.0050","1.0509","0.9960","","3.03%"
"11/01/2009","1.0051","1.0260","1.0340","0.9916","","-2.08%"
"10/01/2009","1.0265","1.0362","1.0457","1.0034","","-0.92%"
"09/01/2009","1.0360","1.0591","1.0708","1.0187","","-2.17%"
"08/01/2009","1.0590","1.0676","1.0885","1.0525","","-0.90%"
"07/01/2009","1.0686","1.0860","1.0958","1.0623","","-1.60%"
"06/01/2009","1.0860","1.0680","1.1025","1.0592","","1.80%"
"05/01/2009","1.0668","1.1415","1.1425","1.0657","","-6.52%"
"04/01/2009","1.1412","1.1402","1.1744","1.1240","","0.17%"
"03/01/2009","1.1393","1.1716","1.1970","1.1162","","-2.69%"
"02/01/2009","1.1708","1.1623","1.1886","1.1400","","0.84%"
"01/01/2009","1.1610","1.0708","1.1717","1.0610","","8.79%"
"12/01/2008","1.0672","1.2130","1.2253","1.0370","","-12.08%"
"11/01/2008","1.2138","1.1576","1.2302","1.1476","","4.84%"
"10/01/2008","1.1578","1.1199","1.1750","1.1127","","3.25%"
"09/01/2008","1.1214","1.0983","1.1421","1.0695","","1.82%"
"08/01/2008","1.1014","1.0477","1.1089","1.0434","","5.18%"
"07/01/2008","1.0472","1.0209","1.0523","1.0011","","2.58%"
"06/01/2008","1.0209","1.0420","1.0542","1.0130","","-2.05%"
"05/01/2008","1.0423","1.0354","1.0625","1.0216","","0.67%"
"04/01/2008","1.0354","0.9948","1.0443","0.9888","","4.20%"
"03/01/2008","0.9937","1.0400","1.0457","0.9677","","-4.56%"
"02/01/2008","1.0412","1.0820","1.1108","1.0410","","-3.66%"
"01/01/2008","1.0807","1.1335","1.1347","1.0757","","-4.68%"
"12/01/2007","1.1338","1.1308","1.1626","1.1153","","0.12%"
"11/01/2007","1.1324","1.1585","1.1638","1.0896","","-2.24%"
"10/01/2007","1.1583","1.1623","1.1894","1.1555","","-0.52%"
"09/01/2007","1.1643","1.2078","1.2153","1.1624","","-3.67%"
"08/01/2007","1.2087","1.2007","1.2213","1.1817","","0.63%"
"07/01/2007","1.2011","1.2210","1.2231","1.1960","","-1.67%"
"06/01/2007","1.2215","1.2251","1.2470","1.2146","","-0.29%"
"05/01/2007","1.2250","1.2080","1.2332","1.2050","","1.46%"
"04/01/2007","1.2074","1.2133","1.2284","1.1995","","-0.67%"
"03/01/2007","1.2156","1.2198","1.2355","1.2029","","-0.26%"
"02/01/2007","1.2188","1.2441","1.2552","1.2142","","-2.00%"
"01/01/2007","1.2437","1.2184","1.2572","1.2111","","2.06%"
"12/01/2006","1.2186","1.1981","1.2272","1.1879","","1.64%"
"11/01/2006","1.1989","1.2439","1.2580","1.1957","","-3.63%"
"10/01/2006","1.2440","1.2499","1.2770","1.2402","","-0.54%"
"09/01/2006","1.2507","1.2317","1.2623","1.2271","","1.59%"
"08/01/2006","1.2311","1.2306","1.2444","1.2181","","-0.03%"
"07/01/2006","1.2315","1.2229","1.2595","1.2184","","0.73%"
"06/01/2006","1.2226","1.2185","1.2529","1.2015","","0.32%"
"05/01/2006","1.2187","1.2381","1.2449","1.1918","","-1.61%"
"04/01/2006","1.2387","1.3036","1.3136","1.2374","","-4.99%"
"03/01/2006","1.3038","1.3118","1.3229","1.2870","","-0.63%"
"02/01/2006","1.3120","1.2782","1.3238","1.2771","","2.66%"
"01/01/2006","1.2780","1.3140","1.3159","1.2557","","-2.71%"
"12/01/2005","1.3136","1.3149","1.3232","1.2774","","-0.11%"
"11/01/2005","1.3151","1.2883","1.3285","1.2759","","2.02%"
"10/01/2005","1.2890","1.2929","1.3074","1.2670","","-0.33%"
"09/01/2005","1.2933","1.2531","1.2998","1.2238","","3.22%"
"08/01/2005","1.2529","1.2884","1.2903","1.2431","","-2.79%"
"07/01/2005","1.2888","1.2815","1.3081","1.2697","","0.55%"
"06/01/2005","1.2818","1.2476","1.2878","1.2407","","2.73%"
"05/01/2005","1.2477","1.1962","1.2496","1.1872","","4.35%"
"04/01/2005","1.1957","1.1964","1.2197","1.1737","","-0.07%"
"03/01/2005","1.1965","1.1626","1.2085","1.1474","","3.03%"
"02/01/2005","1.1613","1.1890","1.2262","1.1567","","-2.33%"
"01/01/2005","1.1890","1.1403","1.1974","1.1364","","4.46%"
"12/01/2004","1.1382","1.1407","1.1684","1.1280","","-0.15%"
"11/01/2004","1.1399","1.1930","1.2125","1.1321","","-4.59%"
"10/01/2004","1.1948","1.2453","1.2684","1.1919","","-4.10%"
"09/01/2004","1.2459","1.2662","1.2790","1.2443","","-1.62%"
"08/01/2004","1.2664","1.2740","1.2858","1.2369","","-1.19%"
"07/01/2004","1.2817","1.2498","1.2844","1.2202","","2.59%"
"06/01/2004","1.2494","1.2540","1.2704","1.2320","","-0.39%"
"05/01/2004","1.2543","1.2945","1.3085","1.2423","","-3.31%"
"04/01/2004","1.2973","1.2652","1.3225","1.2593","","2.49%"
"03/01/2004","1.2658","1.2616","1.3075","1.2515","","0.29%"
"02/01/2004","1.2621","1.2557","1.2763","1.2181","","0.45%"
