"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2000","8.5555","8.7681","8.9825","8.4678","","-2.40%"
"10/01/2000","8.7662","8.4485","9.0449","8.4189","","3.81%"
"09/01/2000","8.4448","8.3778","8.8453","8.2510","","0.56%"
"08/01/2000","8.3975","8.0439","8.4366","8.0252","","4.30%"
"07/01/2000","8.0510","7.8200","8.1104","7.7748","","2.78%"
"06/01/2000","7.8334","7.9712","8.0363","7.6852","","-1.58%"
"05/01/2000","7.9595","8.1883","8.4244","7.9256","","-2.82%"
"04/01/2000","8.1903","7.7871","8.2529","7.6703","","5.19%"
"03/01/2000","7.7862","7.6846","7.8508","7.6093","","1.14%"
"02/01/2000","7.6982","7.6662","7.8037","7.3801","","0.78%"
"01/01/2000","7.6389","7.3411","7.6445","7.1416","","3.34%"
