"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2016","7.7565","7.7771","7.7782","7.7523","","-0.26%"
"02/01/2016","7.7770","7.7826","7.8011","7.7656","","-0.04%"
"01/01/2016","7.7801","7.7508","7.8298","7.7499","","0.39%"
"12/01/2015","7.7501","7.7532","7.7538","7.7497","","-0.03%"
"11/01/2015","7.7523","7.7501","7.7723","7.7497","","0.02%"
"10/01/2015","7.7505","7.7501","7.7510","7.7496","","0.01%"
"09/01/2015","7.7499","7.7500","7.7519","7.7495","","0.01%"
"08/01/2015","7.7495","7.7512","7.7646","7.7496","","-0.04%"
"07/01/2015","7.7528","7.7516","7.7566","7.7499","","0.02%"
"06/01/2015","7.7509","7.7527","7.7577","7.7508","","-0.03%"
"05/01/2015","7.7529","7.7505","7.7602","7.7499","","0.04%"
"04/01/2015","7.7500","7.7524","7.7557","7.7497","","-0.03%"
"03/01/2015","7.7523","7.7545","7.7747","7.7522","","-0.04%"
"02/01/2015","7.7557","7.7525","7.7601","7.7514","","0.05%"
"01/01/2015","7.7517","7.7540","7.7573","7.7498","","-0.03%"
"12/01/2014","7.7538","7.7547","7.7636","7.7507","","-0.01%"
"11/01/2014","7.7545","7.7552","7.7592","7.7513","","0.00%"
"10/01/2014","7.7544","7.7649","7.7687","7.7538","","-0.14%"
"09/01/2014","7.7650","7.7503","7.7701","7.7498","","0.19%"
"08/01/2014","7.7500","7.7501","7.7520","7.7497","","0.00%"
"07/01/2014","7.7498","7.7505","7.7522","7.7498","","-0.01%"
"06/01/2014","7.7503","7.7525","7.7544","7.7495","","-0.03%"
"05/01/2014","7.7526","7.7527","7.7544","7.7512","","0.00%"
"04/01/2014","7.7525","7.7566","7.7580","7.7517","","-0.05%"
"03/01/2014","7.7565","7.7605","7.7675","7.7558","","-0.05%"
"02/01/2014","7.7601","7.7635","7.7677","7.7541","","-0.04%"
"01/01/2014","7.7632","7.7540","7.7680","7.7534","","0.12%"
"12/01/2013","7.7538","7.7527","7.7558","7.7516","","0.02%"
"11/01/2013","7.7525","7.7533","7.7547","7.7512","","0.00%"
"10/01/2013","7.7525","7.7561","7.7562","7.7519","","-0.04%"
"09/01/2013","7.7558","7.7550","7.7571","7.7523","","0.02%"
"08/01/2013","7.7545","7.7558","7.7573","7.7531","","-0.01%"
"07/01/2013","7.7556","7.7565","7.7597","7.7520","","-0.01%"
"06/01/2013","7.7562","7.7634","7.7663","7.7533","","-0.08%"
"05/01/2013","7.7626","7.7601","7.7648","7.7580","","0.04%"
"04/01/2013","7.7596","7.7625","7.7667","7.7599","","-0.04%"
"03/01/2013","7.7630","7.7551","7.7655","7.7540","","0.10%"
"02/01/2013","7.7549","7.7553","7.7598","7.7529","","0.00%"
"01/01/2013","7.7551","7.7502","7.7603","7.7501","","0.07%"
"12/01/2012","7.7500","7.7504","7.7526","7.7491","","0.00%"
"11/01/2012","7.7500","7.7501","7.7529","7.7491","","0.01%"
"10/01/2012","7.7496","7.7540","7.7562","7.7494","","-0.06%"
"09/01/2012","7.7541","7.7559","7.7577","7.7507","","-0.02%"
"08/01/2012","7.7556","7.7544","7.7589","7.7532","","0.02%"
"07/01/2012","7.7542","7.7573","7.7593","7.7523","","-0.03%"
"06/01/2012","7.7569","7.7627","7.7635","7.7533","","-0.07%"
"05/01/2012","7.7620","7.7583","7.7715","7.7570","","0.05%"
"04/01/2012","7.7580","7.7626","7.7669","7.7565","","-0.10%"
"03/01/2012","7.7656","7.7559","7.7695","7.7547","","0.13%"
"02/01/2012","7.7558","7.7547","7.7572","7.7526","","0.01%"
"01/01/2012","7.7549","7.7665","7.7708","7.7538","","-0.14%"
"12/01/2011","7.7661","7.7674","7.7866","7.7656","","-0.02%"
"11/01/2011","7.7676","7.7683","7.7982","7.7653","","-0.01%"
"10/01/2011","7.7682","7.7880","7.7909","7.7623","","-0.20%"
"09/01/2011","7.7841","7.7855","7.8078","7.7815","","-0.02%"
"08/01/2011","7.7854","7.7934","7.8113","7.7848","","-0.11%"
"07/01/2011","7.7938","7.7822","7.8000","7.7789","","0.15%"
"06/01/2011","7.7820","7.7770","7.8046","7.7751","","0.06%"
"05/01/2011","7.7772","7.7658","7.7866","7.7628","","0.15%"
"04/01/2011","7.7659","7.7790","7.7828","7.7650","","-0.16%"
"03/01/2011","7.7786","7.7874","7.8037","7.7748","","-0.12%"
"02/01/2011","7.7878","7.7972","7.7976","7.7803","","-0.12%"
"01/01/2011","7.7968","7.7733","7.7989","7.7671","","0.30%"
"12/01/2010","7.7732","7.7660","7.7858","7.7606","","0.10%"
"11/01/2010","7.7653","7.7534","7.7699","7.7503","","0.19%"
"10/01/2010","7.7508","7.7600","7.7665","7.7500","","-0.12%"
"09/01/2010","7.7598","7.7799","7.7804","7.7551","","-0.24%"
"08/01/2010","7.7785","7.7667","7.7819","7.7600","","0.15%"
"07/01/2010","7.7666","7.7885","7.7972","7.7634","","-0.28%"
"06/01/2010","7.7881","7.7865","7.8067","7.7665","","0.02%"
"05/01/2010","7.7864","7.7651","7.8074","7.7624","","0.29%"
"04/01/2010","7.7641","7.7646","7.7691","7.7554","","-0.01%"
"03/01/2010","7.7645","7.7625","7.7660","7.7565","","0.02%"
"02/01/2010","7.7629","7.7657","7.7736","7.7607","","-0.01%"
"01/01/2010","7.7636","7.7549","7.7772","7.7541","","0.13%"
"12/01/2009","7.7537","7.7501","7.7585","7.7495","","0.05%"
"11/01/2009","7.7499","7.7499","7.7509","7.7493","","0.00%"
"10/01/2009","7.7501","7.7497","7.7506","7.7492","","0.00%"
"09/01/2009","7.7501","7.7509","7.7519","7.7500","","-0.01%"
"08/01/2009","7.7506","7.7496","7.7523","7.7496","","0.01%"
"07/01/2009","7.7501","7.7497","7.7510","7.7492","","0.00%"
"06/01/2009","7.7501","7.7515","7.7534","7.7492","","-0.02%"
"05/01/2009","7.7520","7.7500","7.7550","7.7491","","0.02%"
"04/01/2009","7.7501","7.7500","7.7523","7.7482","","0.00%"
"03/01/2009","7.7504","7.7550","7.7603","7.7456","","-0.06%"
