Country,Quarter,Liabilities
AU,2008-Q3,943645.015
BE,2008-Q3,1743623.957
BR,2008-Q3,237737.735
CA,2008-Q3,498667.213
CH,2008-Q3,2347393.022
CL,2008-Q3,28735.073
DE,2008-Q3,3830373.647
DK,2008-Q3,506532.14
ES,2008-Q3,700710.461
FI,2008-Q3,231108.57
FR,2008-Q3,5536927.995
GB,2008-Q3,12043223.952
HK,2008-Q3,522262.23
IE,2008-Q3,2122081.706
IT,2008-Q3,763484.5730000001
JP,2008-Q3,1494880.754
NL,2008-Q3,2463329.6969999997
SE,2008-Q3,619637.061
US,2008-Q3,7068846.33
AT,2008-Q4,535858.765
AU,2008-Q4,993585.08
BE,2008-Q4,1099043.891
BR,2008-Q4,115800.306
CA,2008-Q4,503778.61
CH,2008-Q4,1849774.259
CL,2008-Q4,25239.057
DE,2008-Q4,2764704.849
DK,2008-Q4,376798.804
ES,2008-Q4,680801.416
FI,2008-Q4,160746.16700000002
FR,2008-Q4,4576212.0030000005
GB,2008-Q4,9190047.28
HK,2008-Q4,504159.128
IE,2008-Q4,1926715.577
IT,2008-Q4,868545.634
JP,2008-Q4,2115788.658
NL,2008-Q4,955380.286
SE,2008-Q4,583232.617
US,2008-Q4,7225454.585
AT,2009-Q1,614371.605
AU,2009-Q1,954487.591
BE,2009-Q1,1231120.202
BR,2009-Q1,133398.397
CA,2009-Q1,479307.635
CH,2009-Q1,1940473.538
CL,2009-Q1,14850.05
DE,2009-Q1,2997965.638
DK,2009-Q1,453318.294
ES,2009-Q1,689274.772
FI,2009-Q1,194016.288
FR,2009-Q1,4523373.212
GB,2009-Q1,9597424.082
HK,2009-Q1,464141.83
IE,2009-Q1,1635877.294
IT,2009-Q1,840036.61
JP,2009-Q1,1768411.091
NL,2009-Q1,1601263.208
SE,2009-Q1,523990.758
US,2009-Q1,6205048.773
AT,2009-Q2,592998.192
AU,2009-Q2,1050463.404
BE,2009-Q2,1318780.388
BR,2009-Q2,155101.845
CA,2009-Q2,471604.52
CH,2009-Q2,2018820.225
CL,2009-Q2,21451.292
DE,2009-Q2,3151521.41
DK,2009-Q2,413560.922
ES,2009-Q2,721996.356
FI,2009-Q2,191705.51
FR,2009-Q2,4796260.843
GB,2009-Q2,9316227.317
HK,2009-Q2,443533.232
IE,2009-Q2,2115030.001
IT,2009-Q2,825556.705
JP,2009-Q2,2053450.116
NL,2009-Q2,1639596.075
SE,2009-Q2,469013.186
US,2009-Q2,6115073.9059999995
AT,2009-Q3,629069.04
AU,2009-Q3,1161367.935
BE,2009-Q3,1259750.006
BR,2009-Q3,156967.696
CA,2009-Q3,506779.7
CH,2009-Q3,1698162.968
CL,2009-Q3,36913.208
DE,2009-Q3,2986862.724
DK,2009-Q3,397961.862
ES,2009-Q3,692119.945
FI,2009-Q3,180217.468
FR,2009-Q3,4811575.353999999
GB,2009-Q3,9268496.16
HK,2009-Q3,475726.774
IE,2009-Q3,2019936.828
IT,2009-Q3,782999.674
JP,2009-Q3,1982967.052
NL,2009-Q3,1664030.554
SE,2009-Q3,488993.466
US,2009-Q3,6976546.538
AT,2009-Q4,487027.259
AU,2009-Q4,1234924.221
BE,2009-Q4,1283701.255
BR,2009-Q4,126836.774
CA,2009-Q4,591896.917
CH,2009-Q4,1693917.862
CL,2009-Q4,37828.243
DE,2009-Q4,2879025.892
DK,2009-Q4,431745.144
ES,2009-Q4,727952.585
FI,2009-Q4,288224.074
FR,2009-Q4,4797216.268
GB,2009-Q4,9352760.135
HK,2009-Q4,525146.966
IE,2009-Q4,1654984.188
IT,2009-Q4,669109.368
JP,2009-Q4,1873683.277
NL,2009-Q4,1533367.179
SE,2009-Q4,490357.105
US,2009-Q4,6675275.455
AT,2010-Q1,535864.936
AU,2010-Q1,1197271.167
BE,2010-Q1,1073055.601
BR,2010-Q1,163885.051
CA,2010-Q1,590285.392
CH,2010-Q1,1678695.119
CL,2010-Q1,25040.604
DE,2010-Q1,3172339.104
DK,2010-Q1,480152.163
ES,2010-Q1,685375.413
FI,2010-Q1,183258.765
FR,2010-Q1,4935981.291999999
GB,2010-Q1,9657507.791
HK,2010-Q1,516821.947
IE,2010-Q1,1871204.88
IT,2010-Q1,752551.672
JP,2010-Q1,1839036.306
NL,2010-Q1,1672473.886
SE,2010-Q1,449057.908
US,2010-Q1,6939660.272
AT,2010-Q2,476057.481
AU,2010-Q2,1135645.082
BE,2010-Q2,1241430.161
BR,2010-Q2,199252.835
CA,2010-Q2,472141.57
CH,2010-Q2,1652290.45
CL,2010-Q2,23669.122
DE,2010-Q2,3206541.411
DK,2010-Q2,328530.615
ES,2010-Q2,538020.499
FI,2010-Q2,1066785.172
FR,2010-Q2,4164239.556
GB,2010-Q2,8973311.596
HK,2010-Q2,524791.983
IE,2010-Q2,1605315.936
IT,2010-Q2,681389.808
JP,2010-Q2,2185772.263
NL,2010-Q2,2337621.7460000003
SE,2010-Q2,543649.746
US,2010-Q2,6810466.027
AT,2010-Q3,625090.078
