"Date","Price","Open","High","Low","Change %"
"09/01/2021","0.083","-0.003","0.101","-0.058","-4,250.00%"
"08/01/2021","-0.002","-0.043","0.005","-0.130","-95.45%"
"07/01/2021","-0.044","0.101","0.108","-0.051","-142.72%"
"06/01/2021","0.103","0.162","0.184","0.015","-36.02%"
"05/01/2021","0.161","0.128","0.364","0.098","17.52%"
"04/01/2021","0.137","0.008","0.163","-0.024","2,183.33%"
"03/01/2021","0.006","0.115","0.130","-0.061","-96.08%"
"02/01/2021","0.153","0.055","0.187","-0.117","104.00%"
"01/01/2021","0.075","-0.083","0.096","-0.140","-172.12%"
"12/01/2020","-0.104","-0.053","-0.007","-0.143","121.28%"
"11/01/2020","-0.047","0.109","0.120","-0.074","-154.02%"
"10/01/2020","0.087","0.264","0.270","0.042","-67.29%"
"09/01/2020","0.266","0.504","0.517","0.219","-48.25%"
"08/01/2020","0.514","0.501","0.539","0.375","-0.19%"
"07/01/2020","0.515","0.727","0.769","0.464","-28.87%"
"06/01/2020","0.724","0.999","1.086","0.697","-30.32%"
"05/01/2020","1.039","1.134","1.578","0.971","-4.24%"
"04/01/2020","1.085","0.884","1.763","0.814","26.90%"
"03/01/2020","0.855","0.401","2.596","0.262","98.38%"
"02/01/2020","0.431","0.250","0.518","0.152","84.19%"
"01/01/2020","0.234","0.588","0.659","0.229","-60.80%"
"12/01/2019","0.597","0.613","0.695","0.460","4.92%"
"11/01/2019","0.569","0.311","0.700","0.305","76.71%"
"10/01/2019","0.322","0.216","0.395","0.191","47.03%"
"09/01/2019","0.219","0.387","0.422","0.147","-48.35%"
"08/01/2019","0.424","0.851","1.213","0.313","-48.61%"
"07/01/2019","0.825","1.260","1.261","0.656","-35.04%"
"06/01/2019","1.270","1.835","1.851","1.172","-30.30%"
"05/01/2019","1.822","1.613","1.931","1.560","13.03%"
"04/01/2019","1.612","1.537","1.773","1.492","7.18%"
"03/01/2019","1.504","1.666","1.720","1.371","-11.16%"
"02/01/2019","1.693","1.526","2.079","1.521","11.45%"
"01/01/2019","1.519","1.791","1.972","1.490","-17.62%"
"12/01/2018","1.844","2.261","2.283","1.747","-20.96%"
"11/01/2018","2.333","2.679","2.982","2.204","-11.90%"
"10/01/2018","2.648","2.377","3.293","2.268","18.58%"
"09/01/2018","2.233","2.529","2.600","1.690","-13.42%"
"08/01/2018","2.579","1.861","2.605","1.831","40.85%"
"07/01/2018","1.831","1.783","1.923","1.536","4.81%"
"06/01/2018","1.747","1.759","2.567","1.447","-16.21%"
"05/01/2018","2.085","0.643","2.996","0.594","221.26%"
"04/01/2018","0.649","0.654","0.700","0.604","0.31%"
"03/01/2018","0.647","0.922","0.955","0.641","-29.13%"
"02/01/2018","0.913","0.743","0.994","0.621","25.07%"
"01/01/2018","0.730","0.712","0.780","0.585","3.11%"
"12/01/2017","0.708","0.476","0.713","0.379","47.50%"
"11/01/2017","0.480","0.600","0.608","0.479","-21.12%"
"10/01/2017","0.609","0.854","0.902","0.599","-26.52%"
"09/01/2017","0.828","0.826","0.884","0.719","-1.33%"
"08/01/2017","0.839","0.774","0.931","0.694","7.88%"
"07/01/2017","0.778","0.851","0.972","0.755","-9.85%"
"06/01/2017","0.863","0.922","0.960","0.621","-5.89%"
"05/01/2017","0.917","1.082","1.085","0.821","-12.42%"
"04/01/2017","1.047","1.117","1.130","0.980","-5.33%"
