"Date","Price","Open","High","Low","Change %"
"08/01/2010","1.512","1.512","1.512","1.512","-24.93%"
"07/01/2010","2.014","2.014","2.014","2.014","9.34%"
"06/01/2010","1.842","1.842","1.842","1.842","-2.69%"
"05/01/2010","1.893","1.893","1.893","1.893","-21.09%"
"04/01/2010","2.399","2.399","2.399","2.399","-8.05%"
"03/01/2010","2.609","2.609","2.609","2.609","-2.83%"
"02/01/2010","2.685","2.685","2.685","2.685","-5.86%"
"01/01/2010","2.852","2.852","2.852","2.852","-7.55%"
"12/01/2009","3.085","3.085","3.085","3.085","4.90%"
"11/01/2009","2.941","2.941","2.941","2.941","-6.99%"
"10/01/2009","3.162","3.162","3.162","3.162","1.31%"
"09/01/2009","3.121","3.121","3.121","3.121","0.42%"
"08/01/2009","3.108","3.108","3.108","3.108","-1.99%"
"07/01/2009","3.171","3.171","3.171","3.171","-5.43%"
"06/01/2009","3.353","3.353","3.353","3.353","13.74%"
"05/01/2009","2.948","2.948","2.948","2.948","2.25%"
"04/01/2009","2.883","2.883","2.883","2.883","1.91%"
"03/01/2009","2.829","2.829","2.829","2.829","-5.79%"
"02/01/2009","3.003","3.003","3.003","3.003","-6.77%"
"01/01/2009","3.221","3.221","3.221","3.221","4.14%"
"12/01/2008","3.093","3.093","3.093","3.093","-16.77%"
"11/01/2008","3.716","3.716","3.716","3.716","-14.42%"
"10/01/2008","4.342","4.342","4.342","4.342","3.21%"
"09/01/2008","4.207","4.207","4.207","4.207","-3.38%"
"08/01/2008","4.354","4.354","4.354","4.354","-4.98%"
"07/01/2008","4.582","4.582","4.582","4.582","-7.19%"
"06/01/2008","4.937","4.937","4.937","4.937","6.63%"
"05/01/2008","4.630","4.630","4.630","4.630","11.00%"
"04/01/2008","4.171","4.171","4.171","4.171","9.79%"
"03/01/2008","3.799","3.799","3.799","3.799","8.82%"
"02/01/2008","3.491","3.491","3.491","3.491","-5.42%"
"01/01/2008","3.691","3.691","3.691","3.691","-12.87%"
"12/01/2007","4.236","4.236","4.236","4.236","3.70%"
