"Date","Price","Open","High","Low","Change %"
"04/01/2006","3.679","3.679","3.679","3.679","3.00%"
"03/01/2006","3.572","3.572","3.572","3.572","9.44%"
"02/01/2006","3.264","3.264","3.264","3.264","1.52%"
"01/01/2006","3.215","3.215","3.215","3.215","5.65%"
"12/01/2005","3.043","3.043","3.043","3.043","-0.43%"
"11/01/2005","3.056","3.056","3.056","3.056","2.58%"
"10/01/2005","2.979","2.979","2.979","2.979","9.64%"
"09/01/2005","2.717","2.717","2.717","2.717","5.19%"
"08/01/2005","2.583","2.583","2.583","2.583","-4.37%"
"07/01/2005","2.701","2.701","2.701","2.701","6.46%"
"06/01/2005","2.537","2.537","2.537","2.537","3.42%"
"05/01/2005","2.453","2.453","2.453","2.453","-5.58%"
"04/01/2005","2.598","2.598","2.598","2.598","-9.00%"
"03/01/2005","2.855","2.855","2.855","2.855","-3.77%"
"02/01/2005","2.967","2.967","2.967","2.967","5.59%"
"01/01/2005","2.810","2.810","2.810","2.810","-3.30%"
"12/01/2004","2.906","2.906","2.906","2.906","0.10%"
"11/01/2004","2.903","2.903","2.903","2.903","-4.00%"
"10/01/2004","3.024","3.024","3.024","3.024","-4.85%"
"09/01/2004","3.178","3.178","3.178","3.178","-0.09%"
"08/01/2004","3.181","3.181","3.181","3.181","-7.02%"
"07/01/2004","3.421","3.421","3.421","3.421","-3.31%"
"06/01/2004","3.538","3.538","3.538","3.538","-0.45%"
"05/01/2004","3.554","3.554","3.554","3.554","5.15%"
"04/01/2004","3.380","3.380","3.380","3.380","23.90%"
"03/01/2004","2.728","2.728","2.728","2.728","-5.41%"
"02/01/2004","2.884","2.884","2.884","2.884","-9.56%"
"01/01/2004","3.189","3.189","3.189","3.189","-3.16%"
"12/01/2003","3.293","3.293","3.293","3.293","-7.29%"
"11/01/2003","3.552","3.552","3.552","3.552","4.47%"
"10/01/2003","3.400","3.400","3.400","3.400","13.52%"
"09/01/2003","2.995","2.995","2.995","2.995","-11.34%"
"08/01/2003","3.378","3.378","3.378","3.378","4.52%"
"07/01/2003","3.232","3.232","3.232","3.232","14.25%"
"06/01/2003","2.829","2.829","2.829","2.829","0.28%"
"05/01/2003","2.821","2.821","2.821","2.821","-11.51%"
"04/01/2003","3.188","3.188","3.188","3.188","0.57%"
"03/01/2003","3.170","3.170","3.170","3.170","5.07%"
"02/01/2003","3.017","3.017","3.017","3.017","-8.24%"
"01/01/2003","3.288","3.288","3.288","3.288","-3.86%"
"12/01/2002","3.420","3.420","3.420","3.420","-11.38%"
"11/01/2002","3.859","3.859","3.859","3.859","4.78%"
"10/01/2002","3.683","3.683","3.683","3.683","4.28%"
"09/01/2002","3.532","3.532","3.532","3.532","-11.21%"
"08/01/2002","3.978","3.978","3.978","3.978","-5.65%"
"07/01/2002","4.216","4.216","4.216","4.216","-6.37%"
"06/01/2002","4.503","4.503","4.503","4.503","-6.40%"
"05/01/2002","4.811","4.811","4.811","4.811","1.82%"
"04/01/2002","4.725","4.725","4.725","4.725","-4.70%"
"03/01/2002","4.958","4.958","4.958","4.958","8.70%"
"02/01/2002","4.561","4.561","4.561","4.561","-0.61%"
"01/01/2002","4.589","4.589","4.589","4.589","2.89%"
"12/01/2001","4.460","4.460","4.460","4.460","8.28%"
"11/01/2001","4.119","4.119","4.119","4.119","5.35%"
"10/01/2001","3.910","3.910","3.910","3.910","-9.34%"
"09/01/2001","4.313","4.313","4.313","4.313","-4.22%"
"08/01/2001","4.503","4.503","4.503","4.503","-3.47%"
"07/01/2001","4.665","4.665","4.665","4.665","-4.52%"
"06/01/2001","4.886","4.886","4.886","4.886","0.97%"
"05/01/2001","4.839","4.839","4.839","4.839","-1.69%"
"04/01/2001","4.922","4.922","4.922","4.922","9.14%"
"03/01/2001","4.510","4.510","4.510","4.510","-3.24%"
"02/01/2001","4.661","4.661","4.661","4.661","-1.15%"
"01/01/2001","4.715","4.715","4.715","4.715","-0.46%"
"12/01/2000","4.737","4.737","4.737","4.737","-6.73%"
"11/01/2000","5.079","5.079","5.079","5.079","-4.92%"
"10/01/2000","5.342","5.342","5.342","5.342","-0.60%"
"09/01/2000","5.374","5.374","5.374","5.374","-2.59%"
"08/01/2000","5.517","5.517","5.517","5.517","1.92%"
"07/01/2000","5.413","5.413","5.413","5.413","2.54%"
"06/01/2000","5.279","5.279","5.279","5.279","-0.96%"
"05/01/2000","5.330","5.330","5.330","5.330","1.99%"
"04/01/2000","5.226","5.226","5.226","5.226","2.57%"
"03/01/2000","5.095","5.095","5.095","5.095","-3.49%"
"02/01/2000","5.279","5.279","5.279","5.279","-1.58%"
"01/01/2000","5.364","5.364","5.364","5.364","4.58%"
